treatment	time	time_treatment	treatment_time	Other	Bacteria_unclassified	Adlercreutzia	Bacteroides	Bacteroidales_S24_7	Lactobacillus	Lactobacillus_reuteri	Clostridium	Clostridiales	Allobaculum	Coprobacillus	Sutterella	Mollicutes_RF39	Mogibacteriaceae	Coprococcus	Dorea	Ruminococcus	Firmicutes_unclassified	Desulfovibrio_C21_c20	Lactococcus	Streptococcus	Clostridium_celatum	Clostridiaceae_SMB53	Lachnospiraceae	Ruminococcus_gnavus	Ruminococcaceae	Oscillospira
GCE	T1	T1_GCE	GCE_T1	0.414287531	0.000481029	0.001723081	0.02009093	0.351471636	0.096387606	0.002706272	0.02057805	0.000258675	0.062269266	0.000212764	0.004948904	0.001100917	0	0.001059811	0	0	0.003941614	5.00E-05	1.86E-05	1.72E-05	0.000665668	1.59E-05	0.004656848	0.003372603	0	0.009685039
GCE	T2	T2_GCE	GCE_T2	0.476565369	0.000364017	0.001783659	0.023778264	0.311956721	0.086338388	0.007702649	0.023223451	0.001985365	0.01925529	0.000258915	0.005726792	0.001074517	0	0.00147777	4.79E-05	0	0.003047091	0.003918552	4.31E-05	0.000129308	0.000419264	4.75E-05	0.00636351	0.009793853	3.71E-05	0.014661611
GCE	T3	T3_GCE	GCE_T3	0.419785355	0	0.000130897	0.007883069	0.133418715	0.042327262	0	0.000979364	0	0.008379958	0	0	0	7.67E-05	0.003449579	0.000448333	0.000815825	0.000318455	0.030877332	0.047656217	0.000976143	0.11371293	5.63E-05	0.101293878	0.00834753	0.004572062	0.074494061
GCE	T4	T4_GCE	GCE_T4	0.39551342	0	3.82E-05	0.003051342	0.082350645	0.001373179	0	0.000643603	0	0.019772734	5.27E-05	0	0	7.29E-05	0.005710931	0.000958191	0.000921553	0.001196614	0.014171259	0.076448815	0.000442842	0.152506742	0.072388512	0.095614286	0.010467035	0.011101805	0.055202594
GCE	T5	T5_GCE	GCE_T5	0.307608327	0	6.40E-05	0.002433127	0.060857465	0.004063263	0	0.000930477	0	0.026299516	0	0	0	0.000108361	0.006252663	0.000806209	0.001363401	0.003884413	0.041482716	0.06235991	0.001003451	0.201675163	0.020907555	0.136905609	0.010551076	0.019770044	0.090673214
ctrl	T1	T1_ctrl	ctrl_T1	0.38215101	0.000202334	0.000462173	0.02902767	0.333593983	0.076889781	0.00291365	0.012319584	0	0.104990949	0.000679779	0.031594064	0	0	0.003143202	0	3.63E-05	0.004201904	0	3.65E-05	6.74E-05	0.000134889	3.65E-05	0.006143231	0.002255392	0	0.009119671
ctrl	T2	T2_ctrl	ctrl_T2	0.427755176	0.000116505	0.001148709	0.027487372	0.312551467	0.047027626	0.002936685	0.061067364	0	0.057538543	0.000194175	0.018333448	0.001277623	0	0.004465726	7.77E-05	4.42E-05	0.003796829	0	4.73E-05	6.16E-05	0.00015021	3.88E-05	0.015052252	0.004091961	0	0.014738703
ctrl	T3	T3_ctrl	ctrl_T3	0.550075729	0	0	0.005952083	0.102825883	0.02098288	0	0.001473738	0	0.000236035	0	0.005907501	0	0	0.003515671	0.000236035	0.000157356	0.000264901	3.66E-05	0.052191279	0.001171818	0.002321007	0.01667978	0.152895488	0.007291858	0.014545455	0.061238866
ctrl	T4	T4_ctrl	ctrl_T4	0.399923088	0	0	0.003121671	0.076053356	0.006115169	0	0.001554225	0	0.010952738	0.000199973	0.000937734	0	0	0.008699333	0.000495503	0.001425356	0.001093714	0	0.092579384	0.00105901	0.17838307	0.013128282	0.089287673	0.009214235	0.025084628	0.080691856
ctrl	T5	T5_ctrl	ctrl_T5	0.316221194	0	0	0.001088258	0.042879366	0.006319248	0	0.001198185	0	0.002110129	0	0	0	5.02E-05	0.004231894	0.000594314	0.000693367	0.001784531	0	0.118181022	0.002431737	0.257734341	0.021692603	0.114526837	0.009987117	0.027641746	0.07063387
