treatment	time	time_treatment	treatment_time	other	ko00511:Other_glycan_degradation	ko00600:Sphingolipid_metabolism	ko00190:Oxidative_phosphorylation	ko00920:Sulfur_metabolism	ko03070:Bacterial_secretion_system	ko04142:Lysosome	ko00603:Glycosphingolipid_biosynthesis	ko00531:Glycosaminoglycan_degradation	ko03018:RNA_degradation	ko00513:Various_types_of_N-glycan_biosynthesis	ko00604:Glycosphingolipid_biosynthesis	ko01503:Cationic_antimicrobial_peptide_(CAMP)_resistance	ko00250:Alanine,_aspartate_and_glutamate_metabolism	ko00140:Steroid_hormone_biosynthesis	ko02010:ABC_transporters	ko00500:Starch_and_sucrose_metabolism	ko01212:Fatty_acid_metabolism	ko00640:Propanoate_metabolism	ko00061:Fatty_acid_biosynthesis	ko00740:Riboflavin_metabolism	ko00561:Glycerolipid_metabolism	ko00480:Glutathione_metabolism	ko05150:Staphylococcus_aureus_infection	ko00983:Drug_metabolism_other_enzymes
GCE	T1	T1_GCE	GCE_T1	0.844200351	0.002448764	0.002008558	0.007436473	0.005557695	0.005179875	0.001966502	0.001530572	0.001496335	0.005458834	0.00080294	0.00080294	0.003669114	0.007427006	0.000573452	0.061115949	0.021123661	0.004658318	0.006330109	0.00404842	0.003085039	0.003666144	0.001630768	0.000844712	0.002937468
GCE	T2	T2_GCE	GCE_T2	0.843213471	0.002869388	0.002419701	0.007452538	0.004629629	0.005278417	0.002191176	0.001727615	0.001753561	0.005782191	0.000889343	0.000889343	0.003864884	0.007430758	0.00069872	0.059814593	0.020776254	0.004641941	0.00656525	0.004381041	0.00336305	0.003727341	0.001775018	0.000755999	0.003108775
GCE	T3	T3_GCE	GCE_T3	0.854721935	0.002902799	0.001981063	0.00686492	0.004855699	0.005133977	0.00155035	0.001167783	0.001466847	0.005727145	0.000791634	0.000791634	0.004105694	0.006837135	0.000760581	0.054997641	0.016143026	0.005528726	0.007642727	0.004723164	0.003001673	0.003351024	0.001440171	0.000698153	0.002814499
GCE	T4	T4_GCE	GCE_T4	0.859578277	0.002649066	0.001683016	0.006288001	0.004549459	0.004970236	0.001047314	0.000828834	0.001130194	0.005587777	0.000569599	0.000569599	0.003827755	0.006764159	0.000536922	0.054532816	0.015017568	0.005895851	0.008236528	0.00492618	0.00303059	0.003207343	0.001363363	0.000563159	0.002646391
GCE	T5	T5_GCE	GCE_T5	0.859833936	0.002453099	0.001480153	0.006330532	0.004892859	0.004941966	0.000890271	0.000690851	0.000958496	0.005514728	0.000442093	0.000442093	0.003836377	0.006599438	0.000399546	0.05524675	0.014623574	0.006119572	0.0084185	0.004987258	0.003011111	0.003247199	0.001328512	0.000650624	0.00266046
ctrl	T1	T1_ctrl	ctrl_T1	0.853379347	0.003013709	0.002608998	0.007509493	0.004978182	0.005033277	0.002186608	0.001659705	0.001735712	0.005624959	0.000963299	0.000963299	0.004018505	0.007541844	0.000770811	0.052179757	0.019503245	0.004415591	0.006214749	0.003639529	0.003227087	0.003647422	0.00152998	0.000647662	0.003007229
ctrl	T2	T2_ctrl	ctrl_T2	0.852019122	0.002738201	0.002292645	0.007603705	0.005252978	0.004806655	0.002290849	0.001787669	0.001737275	0.005757845	0.000888778	0.000888778	0.003924869	0.007605733	0.00066117	0.05397993	0.018080434	0.004740142	0.006599701	0.003846	0.003426447	0.003834348	0.001517663	0.000667575	0.003051488
ctrl	T3	T3_ctrl	ctrl_T3	0.856007777	0.002875201	0.002102516	0.006716865	0.005098408	0.005287848	0.001407085	0.001077171	0.001407244	0.005384946	0.00079707	0.00079707	0.004379208	0.006623344	0.000771174	0.054370865	0.014066232	0.006410942	0.008543232	0.005227237	0.002828134	0.003104577	0.001414008	0.000637693	0.002664157
ctrl	T4	T4_ctrl	ctrl_T4	0.858376462	0.003291417	0.002175546	0.006619389	0.004350279	0.005383858	0.00148347	0.001134442	0.001606948	0.005722169	0.000898456	0.000898456	0.004507155	0.006621505	0.000846159	0.051643186	0.014637957	0.005967568	0.007805144	0.005001616	0.003119872	0.003209937	0.001369556	0.000616725	0.002712727
ctrl	T5	T5_ctrl	ctrl_T5	0.859151517	0.001755474	0.00083388	0.00559991	0.004214089	0.004509009	0.000446918	0.000298709	0.000593208	0.005199078	0.00019751	0.00019751	0.003610676	0.006460284	0.000231665	0.057224619	0.016340035	0.006683872	0.00907334	0.00529367	0.003342123	0.00353598	0.001601255	0.000785988	0.002819681
